Year,,2021,2021,2021,2021,2022,2022,2022,2022,2023
Quarter,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1
1,        Gross domestic product,22313.9,23046.9,23550.4,24349.1,24740.5,25248.5,25723.9,26138,26465.9
2,Personal consumption expenditures,15131.5,15813.5,16147.3,16518,16874.8,17261.3,17542.7,17749.9,18095.3
3,    Goods,5265.3,5529.9,5517.1,5673.7,5843.2,5953.6,5988.6,5980,6085.8
4,        Durable goods,1990.9,2113.5,2035,2101.6,2183.9,2181.8,2195.8,2180.4,2262
5,        Nondurable goods,3274.4,3416.4,3482.2,3572.1,3659.3,3771.9,3792.7,3799.6,3823.8
6,    Services,9866.2,10283.6,10630.2,10844.3,11031.6,11307.7,11554.1,11769.9,12009.5
7,Gross private domestic investment,3902.3,3943.4,4109.1,4499.2,4671,4609.9,4579.1,4669.8,4564
8,    Fixed investment,4004.1,4102.8,4164.3,4259.2,4413.6,4464.6,4508.2,4508,4557.2
9,        Nonresidential,2934.6,3007.3,3046.3,3111.8,3225,3292.2,3403.4,3467.5,3532.6
10,            Structures,587.5,595.4,599.7,610.3,627.3,631.2,654.8,691.9,723.2
11,            Equipment,1166.1,1191.5,1197.3,1221.2,1277.8,1299.5,1352,1360.1,1359.4
12,            Intellectual property products,1181,1220.4,1249.2,1280.4,1319.9,1361.4,1396.6,1415.5,1450
13,        Residential,1069.5,1095.6,1118,1147.3,1188.6,1172.4,1104.8,1040.5,1024.6
14,    Change in private inventories,-101.8,-159.4,-55.2,240,257.4,145.4,70.9,161.8,6.8
15,Net exports of goods and services,-808.6,-834.4,-889.1,-914.7,-1116.7,-1035.6,-890.8,-857.1,-839.5
16,    Exports,2369.1,2503.1,2553.3,2733,2811.2,3038.8,3065,2988.3,3022.6
17,        Goods,1614.8,1721.3,1751.6,1878.2,1940.9,2134.7,2141.2,2040,2070.5
18,        Services,754.3,781.8,801.8,854.9,870.4,904.2,923.8,948.3,952.1
19,    Imports,3177.7,3337.5,3442.5,3647.7,3927.9,4074.4,3955.8,3845.4,3862.1
20,        Goods,2692.6,2806.6,2850.5,3029,3289.3,3394.8,3269.7,3155,3165.1
21,        Services,485.1,530.9,592,618.7,638.6,679.6,686.1,690.4,697
22,Government consumption expenditures and gross investment,4088.7,4124.4,4183.1,4246.7,4311.4,4412.8,4493,4575.4,4646.1
23,    Federal,1620.3,1608,1595.5,1612.8,1613.1,1622.7,1657.1,1693.8,1739.8
24,        National defense,900.7,904.3,906.8,904.4,898.7,918.3,935.3,947.4,966.9
25,        Nondefense,719.6,703.7,688.8,708.4,714.4,704.4,721.8,746.4,772.9
26,    State and local,2468.4,2516.4,2587.6,2633.9,2698.2,2790,2836,2881.6,2906.3
